Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Profit,Cum. net profit,Entry time,Exit time,
86,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19125.00,19121.00,-4.00,-76.75,11/06/2024 17:33:03,11/06/2024 17:33:49,
85,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19125.00,19121.00,-4.00,-72.75,11/06/2024 17:33:03,11/06/2024 17:33:49,
84,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19125.00,19121.00,-4.00,-68.75,11/06/2024 17:33:03,11/06/2024 17:33:49,
82,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19121.50,19125.50,-4.00,-60.75,11/06/2024 17:30:48,11/06/2024 17:31:06,
83,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19121.50,19125.50,-4.00,-64.75,11/06/2024 17:30:48,11/06/2024 17:31:06,
81,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19121.50,19125.50,-4.00,-56.75,11/06/2024 17:30:48,11/06/2024 17:31:06,
79,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19117.25,19118.25,1.00,-55.25,11/06/2024 17:29:13,11/06/2024 17:30:33,
80,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,2,19117.25,19118.50,2.50,-52.75,11/06/2024 17:29:13,11/06/2024 17:30:33,
78,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19112.75,19108.50,-4.25,-56.25,11/06/2024 17:27:20,11/06/2024 17:27:25,
76,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19112.75,19108.50,-4.25,-47.75,11/06/2024 17:27:17,11/06/2024 17:27:25,
77,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19112.75,19108.50,-4.25,-52.00,11/06/2024 17:27:18,11/06/2024 17:27:25,
75,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19115.00,19113.00,-2.00,-43.50,11/06/2024 17:24:37,11/06/2024 17:25:03,
74,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19115.00,19113.00,-2.00,-41.50,11/06/2024 17:24:37,11/06/2024 17:25:03,
73,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19115.00,19113.00,-2.00,-39.50,11/06/2024 17:24:37,11/06/2024 17:25:03,
71,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19114.00,19108.25,5.75,-43.25,11/06/2024 17:10:22,11/06/2024 17:18:51,
72,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19114.00,19108.25,5.75,-37.50,11/06/2024 17:10:22,11/06/2024 17:18:51,
70,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19114.00,19104.00,10.00,-49.00,11/06/2024 17:10:22,11/06/2024 17:14:30,
67,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19109.50,19113.50,-4.00,-51.00,11/06/2024 17:09:08,11/06/2024 17:10:20,
68,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19109.50,19113.50,-4.00,-55.00,11/06/2024 17:09:08,11/06/2024 17:10:20,
69,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19109.50,19113.50,-4.00,-59.00,11/06/2024 17:09:08,11/06/2024 17:10:20,
66,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19119.75,19115.75,-4.00,-47.00,11/06/2024 17:07:19,11/06/2024 17:07:37,
64,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19119.75,19115.75,-4.00,-39.00,11/06/2024 17:07:19,11/06/2024 17:07:37,
65,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19119.75,19115.75,-4.00,-43.00,11/06/2024 17:07:19,11/06/2024 17:07:37,
63,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19119.75,19123.75,-4.00,-35.00,11/06/2024 17:06:26,11/06/2024 17:06:51,
61,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19119.75,19123.75,-4.00,-27.00,11/06/2024 17:06:26,11/06/2024 17:06:51,
62,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19119.75,19123.75,-4.00,-31.00,11/06/2024 17:06:26,11/06/2024 17:06:51,
60,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19119.75,19121.00,-1.25,-23.00,11/06/2024 17:05:35,11/06/2024 17:05:43,
58,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19119.75,19121.00,-1.25,-20.50,11/06/2024 17:05:35,11/06/2024 17:05:43,
59,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19119.75,19121.00,-1.25,-21.75,11/06/2024 17:05:35,11/06/2024 17:05:43,
57,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19132.50,19121.25,11.25,-19.25,11/06/2024 17:01:20,11/06/2024 17:04:26,
56,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19132.50,19112.50,20.00,-30.50,11/06/2024 17:01:20,11/06/2024 17:04:06,
55,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19132.50,19122.50,10.00,-50.50,11/06/2024 17:01:20,11/06/2024 17:03:42,
54,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19130.25,19134.25,-4.00,-60.50,11/06/2024 16:58:22,11/06/2024 16:59:22,
52,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19130.25,19134.25,-4.00,-52.50,11/06/2024 16:58:22,11/06/2024 16:59:22,
53,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19130.25,19134.25,-4.00,-56.50,11/06/2024 16:58:22,11/06/2024 16:59:22,
49,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19109.00,19113.00,-4.00,-40.50,11/06/2024 16:49:03,11/06/2024 16:49:15,
50,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19109.00,19113.00,-4.00,-44.50,11/06/2024 16:49:04,11/06/2024 16:49:15,
51,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19109.00,19113.00,-4.00,-48.50,11/06/2024 16:49:04,11/06/2024 16:49:15,
48,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19109.25,19105.00,-4.25,-36.50,11/06/2024 16:48:22,11/06/2024 16:48:38,
47,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19109.25,19105.00,-4.25,-32.25,11/06/2024 16:48:22,11/06/2024 16:48:38,
46,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Long,1,19109.25,19105.00,-4.25,-28.00,11/06/2024 16:48:22,11/06/2024 16:48:38,
43,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19109.25,19111.50,-2.25,-19.25,11/06/2024 16:45:12,11/06/2024 16:48:02,
44,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19109.25,19111.50,-2.25,-21.50,11/06/2024 16:45:12,11/06/2024 16:48:02,
45,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19109.25,19111.50,-2.25,-23.75,11/06/2024 16:45:13,11/06/2024 16:48:02,
41,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19097.00,19101.25,-4.25,-12.75,11/06/2024 16:41:52,11/06/2024 16:41:58,
42,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19097.00,19101.25,-4.25,-17.00,11/06/2024 16:41:52,11/06/2024 16:41:58,
40,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19097.00,19101.25,-4.25,-8.50,11/06/2024 16:41:52,11/06/2024 16:41:58,
38,NQ 06-24,APEX-136548-03!Apex!Apex,10-20-40 BE,Short,1,19080.75,19085.00,-4.25,0.00,11/06/2024 16:28:20,11/06/2024 16:28:55,
